# Source: US Social Security Administration, national baby name data, male births 1975-2025 (public domain).
# https://www.ssa.gov/oact/babynames/limits.html
# Columns b1975..b2025 are births in each five-year bucket starting that year, divided by 10 and rounded.
# Written by tools/fetch-data.mjs. Do not edit by hand.
name,b1975,b1980,b1985,b1990,b1995,b2000,b2005,b2010,b2015,b2020,b2025
Amari,1,1,4,12,76,232,427,508,697,1043,200
Eugene,709,585,471,358,251,205,170,145,140,133,25
Jakob,22,41,81,213,604,921,555,411,208,114,14
Theo,25,15,39,29,31,53,86,167,652,1684,395
Esteban,140,167,193,290,355,412,454,384,363,345,67
Ernest,726,625,498,373,233,188,145,116,105,100,21
Zackary,42,94,243,504,634,629,472,272,129,82,12
Ernesto,273,323,343,412,399,417,364,234,176,137,27
Joaquin,118,122,121,140,166,256,561,495,495,521,93
Brantley,14,17,30,32,36,41,52,1044,1203,549,61
Jamal,268,265,454,590,437,348,242,171,155,110,17
Barrett,79,112,105,85,76,94,179,374,781,954,214
Zachariah,137,212,287,408,356,333,331,325,339,267,56
Archer,1,1,1,4,9,29,91,387,760,1394,363
Stanley,552,490,431,353,260,219,194,174,180,155,28
Kendrick,230,238,303,342,282,245,240,362,396,336,56
Noel,229,234,243,263,264,283,298,349,412,366,64
Demetrius,336,335,384,478,361,308,267,212,166,126,16
Kelvin,366,334,382,402,337,321,305,221,166,118,21
Nelson,344,326,375,402,314,302,286,222,205,170,30
Dale,697,575,474,366,255,225,138,85,75,66,13
Karter,0,0,1,6,16,54,154,551,1136,903,127
Hugo,126,171,203,287,275,348,385,322,356,379,84
Harold,695,513,405,324,228,184,163,133,142,120,23
Alvin,400,385,362,328,263,256,268,238,215,171,29
Beckett,0,0,0,1,6,35,208,561,877,977,252
Zachery,69,151,387,786,674,420,241,106,41,26,4
Luka,2,2,3,7,13,68,134,192,466,1622,387
Deandre,102,162,320,530,506,386,297,242,189,125,18
Zander,0,0,1,4,25,294,531,702,712,523,80
Joey,538,476,336,312,227,237,228,197,160,129,27
Geoffrey,649,640,633,420,197,123,76,54,36,23,3
Moises,118,146,168,264,325,420,420,306,331,275,50
Dwayne,644,486,421,343,218,171,178,155,118,77,11
Adan,86,119,138,186,204,325,558,442,370,326,63
Paxton,11,10,12,30,66,89,261,668,872,657,99
Harry,481,394,358,303,238,223,208,168,192,173,33
Colt,7,100,112,109,113,88,215,481,685,742,119
Rene,347,357,369,393,321,298,243,164,124,111,20
Glenn,618,538,481,360,231,155,118,86,76,63,12
Terrell,268,340,452,430,362,267,247,171,113,74,11
Conor,44,103,165,421,404,332,262,234,460,273,29
Cash,8,11,16,24,27,69,484,676,663,625,118
Tobias,133,95,86,94,133,212,269,281,660,624,120
Messiah,3,2,3,8,22,57,148,367,934,995,167
Rory,170,260,214,143,128,136,137,264,435,640,177
Branden,117,297,445,512,457,362,259,138,64,29,4
Landen,4,9,14,28,76,312,922,728,380,187,21
Ray,417,409,374,316,224,190,200,173,164,162,32
Quinton,119,220,278,375,407,313,279,248,227,169,24
Reed,75,102,118,183,267,249,313,451,450,365,77
Tate,41,30,36,97,180,299,349,389,340,703,186
Cruz,43,48,82,95,118,168,343,580,519,541,103
Jett,3,5,12,17,56,160,272,473,568,845,217
Dane,108,252,427,291,254,278,401,274,166,137,30
Anderson,36,41,50,76,89,143,434,573,578,504,90
Cedric,426,448,351,290,277,232,194,148,113,112,21
Shannon,1092,527,285,228,157,109,84,47,38,27,4
Legend,0,0,0,2,13,19,60,154,774,1373,186
Darryl,356,483,549,419,236,162,130,100,78,50,7
Lewis,333,300,284,259,194,171,171,193,263,320,74
Rodrigo,84,100,109,208,297,348,456,325,294,279,61
Kurt,554,557,511,353,216,134,79,58,52,38,6
Atlas,2,3,2,3,4,6,19,103,532,1416,441
Barry,726,588,404,265,158,104,79,58,75,62,11
Brenden,35,62,124,263,531,618,481,264,95,42,4
Karl,457,490,447,368,243,163,117,85,78,55,11
Jax,0,0,0,0,25,53,164,654,877,641,96
Ace,12,15,19,18,19,33,140,271,614,1139,224
Khalil,28,36,44,121,372,299,283,294,398,529,83
Sam,197,184,219,287,257,280,295,261,243,206,43
Emerson,36,38,48,60,72,115,262,425,634,632,137
Phoenix,1,1,3,25,72,162,347,400,663,682,103
Solomon,105,119,121,133,205,263,300,335,425,368,77
Johnathon,111,255,415,510,398,294,212,130,72,45,7
Leonel,61,82,107,154,165,222,292,311,451,499,94
Kelly,718,567,410,272,142,87,67,52,55,55,8
Matias,13,16,19,29,41,72,133,225,681,988,214
Ralph,592,450,350,261,187,155,123,98,100,90,21
Titus,63,76,69,70,90,172,273,474,595,449,91
Grady,83,68,79,87,91,159,430,492,430,398,85
Guillermo,178,210,227,316,331,313,296,198,163,145,26
Remington,1,21,44,66,95,102,154,368,734,704,111
Allan,261,285,275,291,249,268,252,180,160,145,22
Jase,3,9,22,25,42,91,209,1031,651,266,38
Davis,58,81,123,197,315,353,361,328,293,235,41
Nikolas,37,71,124,225,370,409,373,272,242,219,38
Payton,10,14,44,128,352,683,616,313,135,71,11
Gilbert,407,398,359,316,226,195,167,118,96,80,15
Alfred,453,407,338,277,196,152,140,115,129,134,29
Maximiliano,10,10,15,45,62,149,234,460,657,600,121
Kody,34,72,226,529,466,343,244,175,137,107,20
Gunner,2,4,5,45,107,151,264,600,686,422,60
Knox,0,1,3,4,9,15,60,420,785,866,184
Caiden,0,0,0,4,20,167,583,638,536,340,48
Kendall,152,189,287,441,342,281,221,189,124,91,16
Kade,11,21,37,69,188,338,339,355,414,458,94
Moses,165,173,155,167,197,258,281,270,309,290,58
Marquis,110,190,300,487,396,269,223,155,108,72,10
Clifford,521,550,405,270,160,105,85,67,74,70,14
Quincy,299,210,157,216,204,268,266,213,227,210,42
Jonas,94,146,92,91,181,261,466,286,361,280,48
Dominique,53,123,385,783,315,181,144,127,102,74,12
Cohen,1,2,2,8,17,58,395,448,547,653,159
Alonzo,161,164,198,215,211,210,223,242,284,299,59
Cyrus,57,79,74,91,138,231,266,293,368,533,128
Kobe,0,0,1,0,241,621,290,280,257,503,58
Romeo,28,31,44,45,105,183,265,459,464,512,113
Sterling,104,127,170,249,222,174,129,195,352,409,94
Mauricio,75,88,120,182,227,358,402,281,242,207,41
Clay,202,178,223,258,323,271,138,150,177,236,52
Keaton,7,18,76,178,317,364,411,376,265,159,33
Howard,510,398,308,232,159,132,116,104,107,107,23
Orion,33,36,37,56,130,197,240,339,520,503,101
Kenny,210,288,272,265,267,267,250,157,117,80,16
Dexter,138,130,299,242,144,108,149,376,340,218,39
Felipe,182,211,213,278,258,288,270,179,147,133,24
Heath,545,370,282,193,129,122,141,127,121,122,25
Muhammad,40,52,50,66,107,153,183,311,470,599,147
Nash,8,10,19,29,78,86,152,287,639,730,136
Clarence,459,407,329,271,183,138,121,95,84,63,12
Jarrod,420,495,423,306,245,136,54,39,25,14,1
Leland,105,101,109,113,76,62,392,434,392,308,61
Nathanael,112,175,177,198,263,283,289,229,200,176,44
Rudy,261,255,281,280,225,201,182,143,131,145,35
Antoine,345,375,387,246,171,164,171,117,92,60,10
Karson,3,5,10,22,48,145,249,443,628,517,69
Tristen,3,15,30,29,473,442,479,382,183,90,12
Dorian,105,97,129,183,204,298,291,247,268,260,56
Arlo,17,13,13,10,11,21,49,155,524,1071,244
Marlon,315,230,223,228,227,228,229,176,137,110,20
Forrest,150,161,188,429,222,101,74,107,234,372,85
Adonis,26,26,26,61,106,103,131,166,442,884,146
Nico,7,7,44,123,88,115,178,267,379,703,207
Toby,490,230,146,145,168,252,234,194,147,90,23
Aden,11,9,9,17,38,298,669,566,315,161,22
Clark,113,145,156,145,124,111,163,262,426,375,84
Nehemiah,16,36,35,42,71,155,397,453,440,375,74
Gideon,22,34,37,46,63,124,222,382,540,524,99
Ariel,95,137,161,242,225,203,246,171,264,269,53
Uriel,24,35,59,141,200,272,372,292,282,313,71
Ronan,1,4,5,5,27,109,225,322,587,634,141
Ellis,77,73,79,88,91,98,138,221,489,562,142
Rodolfo,217,264,253,292,274,252,208,123,93,67,12
Alfonso,208,216,238,272,248,229,222,142,127,120,22
Jarrett,145,218,274,284,406,360,153,90,68,41,6
Ben,294,235,215,170,175,207,211,164,170,160,29
Issac,74,97,89,141,209,307,372,299,232,185,26
Beckham,0,0,0,0,0,12,88,223,586,899,219
Tomas,136,163,169,214,238,256,247,185,175,181,39
Reece,13,20,58,102,186,369,353,283,237,289,68
Ahmad,95,104,128,164,229,286,252,231,240,206,41
Roderick,378,355,307,258,174,141,124,99,81,46,9
Wilson,111,133,153,217,198,241,248,211,213,200,41
Noe,103,132,142,196,219,268,286,223,193,165,34
Ezequiel,34,46,50,94,163,188,238,237,327,486,94
Earl,479,420,320,241,150,106,85,56,55,38,6
Bailey,8,17,31,62,930,520,169,74,61,64,14
Ari,62,66,61,78,89,130,214,306,405,456,81
Roland,245,219,204,175,136,122,144,170,257,218,47
Justice,14,17,19,107,368,352,341,273,261,163,19
Blaine,122,137,230,246,217,264,216,209,158,109,23
Clint,486,486,263,277,123,71,55,55,61,46,6
Bernard,390,340,311,252,164,122,103,82,79,71,14
Rogelio,171,190,204,247,231,248,235,155,121,104,18
Harley,98,119,112,272,286,282,229,202,176,124,20
Mohamed,25,44,63,105,178,246,287,322,325,267,57
Kane,25,27,46,81,144,151,216,252,451,440,70
Kristian,130,77,95,221,298,280,280,217,170,117,18
Jamison,113,96,123,125,126,168,242,289,346,242,32
Brendon,90,122,196,303,381,323,243,136,66,32,5
Iker,0,0,0,0,1,10,52,610,735,403,82
Prince,33,79,74,60,65,93,141,304,506,467,70
Leroy,373,304,256,207,149,113,103,103,114,133,27
Hayes,9,8,10,15,26,38,74,177,415,884,224
Braylon,0,3,7,19,33,73,547,614,313,244,29
Harvey,160,129,112,93,72,73,78,171,379,472,138
Lamar,226,289,317,251,143,132,158,153,114,73,12
Kyrie,0,0,2,7,9,10,12,140,740,800,142
Maximilian,16,24,69,103,173,243,268,320,331,266,50
Darnell,251,293,336,269,183,136,152,106,71,44,6
Daryl,445,354,330,217,135,95,83,59,61,42,11
Atticus,1,2,4,12,24,59,163,333,498,611,121
Skylar,9,46,112,249,328,333,284,234,141,74,11
Kirk,430,349,370,257,139,83,59,51,41,29,5
Gilberto,179,200,203,267,240,233,203,117,82,65,11
Raphael,87,90,138,166,129,140,178,200,273,319,81
Rocco,72,71,66,62,54,132,309,347,319,296,68
Nasir,6,8,7,17,89,238,328,243,384,408,62
Malakai,0,0,1,3,10,75,169,230,406,723,166
Winston,82,87,112,135,117,109,125,185,363,385,83
Norman,386,326,259,209,135,114,93,77,82,80,17
Ibrahim,20,29,38,68,96,153,213,294,394,380,94
Rolando,199,216,206,205,203,215,208,132,99,81,14
Isiah,29,50,115,204,344,381,323,154,87,69,12
Finley,3,2,3,3,7,31,123,281,609,596,102
Isaias,29,44,55,89,145,207,260,251,270,332,76
Javon,44,57,102,216,280,328,332,179,106,89,17
Courtney,332,384,391,233,120,78,75,65,43,25,4
Pierce,9,20,58,91,149,229,261,291,302,277,60
Zackery,39,76,183,357,393,308,205,100,43,23,3
Jensen,11,18,24,30,51,58,91,269,510,547,121
Kash,2,3,5,8,11,23,100,287,493,678,118
Ramiro,153,166,164,234,234,231,199,130,101,94,20
Clifton,456,356,283,178,116,93,72,58,52,48,8
Kolton,0,2,16,76,155,168,232,373,349,297,49
Gordon,267,259,244,201,153,129,101,97,131,112,21
Kareem,197,165,141,167,150,159,153,162,176,206,38
Gunnar,10,10,19,98,178,187,239,315,353,253,46
Stefan,108,131,270,316,224,145,107,121,138,121,22
Mohammad,32,67,105,157,202,214,191,211,239,233,53
Kellen,3,137,149,94,104,164,276,408,208,133,20
Abram,64,75,70,66,81,126,234,350,376,217,35
Moshe,53,60,91,98,127,158,202,246,270,311,73
Ahmed,40,64,80,113,157,227,220,250,272,204,38
Kieran,22,28,34,76,141,208,233,246,283,313,82
Stuart,281,307,354,282,153,103,68,44,35,26,5
Brayan,1,2,8,33,100,348,507,298,177,149,33
Vicente,107,124,121,165,170,193,199,163,166,193,50
Royce,86,95,99,100,82,73,108,244,334,369,61
Keenan,65,96,156,311,287,192,177,129,119,96,15
Reese,23,25,50,80,153,332,312,231,180,203,48
Colten,1,7,49,164,210,196,298,346,207,136,24
Derick,180,249,247,223,164,142,150,114,82,67,12
Conrad,90,106,126,142,140,126,135,164,242,279,77
Killian,0,3,11,42,68,65,117,170,618,451,77
Rashad,124,131,247,283,186,148,179,146,102,62,10
Aron,139,142,125,150,154,156,195,177,156,175,38
Callum,0,1,3,11,31,47,86,139,232,756,300
Asa,40,69,70,82,98,144,199,238,284,310,62
Porter,11,12,13,23,50,134,268,348,378,307,53
Mohammed,31,59,83,125,182,201,184,236,233,210,49
Mike,267,174,177,168,160,165,147,118,95,97,16
Fredrick,333,276,210,193,148,111,98,73,67,60,9
Duane,481,301,224,154,107,86,73,59,48,37,5
Tyrell,38,128,243,282,269,206,155,113,79,52,8
Darian,73,41,51,212,293,252,201,161,133,120,25
Sage,20,16,22,93,173,182,159,158,293,378,68
Stetson,0,8,35,68,61,42,53,95,204,728,266
Jamar,133,237,258,213,130,159,157,121,84,56,7
Damion,207,106,84,160,238,277,227,126,74,49,6
Deshawn,82,79,127,244,255,221,211,150,98,70,10
Armani,0,0,8,43,112,132,190,283,300,412,61
Sonny,130,103,126,101,83,103,120,116,165,381,114
Gianni,13,15,15,37,100,134,222,258,292,390,57
Elian,0,0,0,0,3,144,114,139,294,588,245
Lonnie,399,301,212,176,113,86,73,59,51,47,9
Jamari,1,4,8,28,73,207,345,301,248,259,51
Kayson,0,1,1,3,9,19,76,229,453,600,131
Donte,103,149,212,255,244,181,152,99,65,46,8
Frankie,206,184,182,173,134,116,160,125,105,104,26
Luciano,30,37,41,48,71,99,161,206,290,416,112
Salvatore,181,167,172,169,148,153,128,118,119,125,25
Will,118,119,116,135,158,212,232,173,125,95,17
Lawson,10,12,16,25,45,99,172,242,385,410,83
Daxton,3,0,1,8,19,40,99,212,524,501,83
Izaiah,0,1,2,10,61,187,318,344,260,263,44
Kason,4,8,12,16,32,63,182,372,420,333,48
Vernon,329,302,235,168,116,88,69,61,55,54,13
Milan,24,20,24,34,49,55,70,168,339,564,142
Alvaro,69,96,146,164,172,200,191,126,131,157,33
Sullivan,4,5,4,17,36,72,142,258,385,448,108
Glen,347,287,247,189,122,91,62,52,43,33,7
Neal,304,288,254,198,116,76,61,54,66,50,8
Perry,220,221,240,207,154,118,90,71,68,73,14
Dwight,288,263,254,209,131,94,79,68,47,32,5
Camron,22,26,50,87,173,376,375,198,105,48,7
Cullen,36,48,71,130,192,157,167,262,245,138,19
Niko,3,7,25,78,73,82,111,179,266,528,105
Rocky,251,269,166,101,75,80,97,95,117,148,52
Sidney,165,166,167,193,190,147,126,109,90,76,15
Fred,369,272,209,164,114,84,72,53,51,46,8
Stephan,143,171,261,250,184,113,91,79,78,61,9
Sheldon,174,152,182,267,217,136,111,94,64,36,5
Braydon,1,3,10,31,107,225,444,358,170,75,9
Bodhi,2,0,0,5,11,21,58,139,490,574,130
Don,346,275,224,152,112,83,70,56,52,49,9
Lionel,126,181,155,99,71,67,77,149,218,240,42
Efrain,127,133,146,190,188,190,167,117,86,71,12
Trevon,9,14,36,192,390,331,231,109,54,49,11
Johan,13,20,24,27,62,180,264,265,271,247,52
Bo,36,97,90,126,88,86,136,157,230,309,70
Alijah,0,0,1,8,45,121,243,284,302,353,65
Lennox,2,4,4,6,7,16,45,161,396,661,116
Kent,248,266,234,176,114,91,70,69,74,57,10
Rhys,5,13,18,27,43,76,146,281,311,408,78
Bret,225,300,258,234,166,104,58,29,14,11,2
Duncan,41,55,87,140,282,233,164,142,127,113,19
Brycen,1,4,10,20,57,122,237,432,303,187,28
Jefferson,87,81,82,113,123,128,199,194,185,176,30
Mathias,20,20,27,30,40,76,139,187,331,411,109
Otto,32,27,30,30,31,45,71,144,313,529,124
Rex,139,134,120,100,74,75,130,188,206,183,28
Aldo,45,63,74,80,123,193,238,232,171,123,24
Augustus,24,26,28,68,74,95,133,177,333,331,78
Braeden,1,4,8,33,120,369,471,232,89,35,4
Major,26,29,27,26,19,35,52,278,484,345,41
Jayceon,0,0,0,0,0,0,27,413,579,291,45
Hendrix,1,1,0,1,2,8,44,146,461,593,93
Milton,208,196,178,159,125,129,110,86,77,69,13
Jarvis,122,205,273,238,135,95,91,73,63,46,4
Kian,5,6,8,21,49,99,180,227,318,351,80
Lloyd,280,253,207,166,104,77,75,66,55,49,11
Santino,23,27,28,43,54,91,162,193,247,376,93
Demarcus,68,123,199,241,184,128,144,113,81,47,7
Osvaldo,62,66,70,140,189,267,238,139,82,65,13
Devan,22,36,116,269,281,241,184,95,51,30,5
Tyree,85,78,98,187,252,202,161,108,89,59,9
Braylen,0,0,0,4,9,30,200,440,337,269,37
Markus,71,83,131,191,158,150,175,156,114,79,14
Jordon,17,68,177,306,267,209,139,76,38,21,3
Terence,211,236,270,205,114,83,66,63,43,26,5
Tatum,5,4,3,6,13,23,62,199,247,584,174
Davon,37,66,134,250,225,193,177,101,72,57,8
Trace,11,11,35,71,170,213,239,200,147,182,34
Zayn,0,0,0,1,8,16,23,73,413,639,138
Marcel,82,90,124,148,131,108,118,129,158,186,36
Thaddeus,143,112,128,136,101,104,101,126,183,145,31
Davion,8,10,31,79,154,260,307,208,131,106,14
Omari,31,34,31,46,66,132,191,173,292,271,40
Odin,3,4,3,5,7,39,82,200,444,457,60
Kurtis,125,199,288,247,166,100,67,49,37,22,5
Finnegan,0,0,0,0,8,51,170,281,383,352,57
Rickey,266,272,219,163,103,80,72,54,39,27,5
Robin,206,215,168,141,90,64,59,66,105,147,38
Julien,12,17,35,71,97,157,217,214,220,215,38
Bowen,5,9,9,15,40,57,71,179,327,451,129
Freddy,101,114,144,173,153,161,164,111,84,72,13
Matthias,15,23,30,37,46,74,131,181,334,332,85
Zayne,0,1,4,13,41,71,113,224,370,386,64
Cornelius,206,211,197,170,119,98,94,75,61,44,8
Reuben,135,133,143,132,112,113,115,114,122,138,27
Jarred,88,165,254,262,255,150,49,29,19,7,1
Amos,121,126,106,98,77,87,92,137,187,210,36
Brenton,78,168,266,182,141,106,101,105,80,44,7
Lamont,285,189,156,158,117,101,97,78,51,35,5
Quintin,47,96,131,160,187,177,176,130,92,68,8
Raiden,0,0,0,1,12,47,119,244,373,398,74
Darin,313,219,193,150,114,105,75,45,29,19,3
Hank,39,49,49,46,39,46,79,179,315,348,78
Carlton,226,203,197,219,135,90,71,50,39,25,4
Deon,118,110,121,191,176,129,127,105,89,78,13
Kamden,0,0,2,6,12,64,158,347,364,265,38
Kamari,1,1,2,7,30,79,203,196,234,423,81
Crew,0,0,0,0,5,14,50,138,249,659,135
Talon,3,16,35,71,111,132,289,263,183,130,18
Ignacio,102,108,113,138,131,148,144,99,111,123,30
Dion,188,125,134,176,148,108,90,81,72,108,16
Humberto,102,117,133,186,180,169,140,93,62,53,8
Yahir,0,0,0,1,4,259,370,282,155,142,31
Guy,243,193,171,140,99,92,81,75,76,60,10
Mekhi,0,0,0,0,44,239,339,259,211,125,18
Brice,69,89,165,158,177,171,162,117,86,36,4
Clyde,185,162,119,97,71,63,68,93,156,183,35
Herbert,308,255,191,145,96,70,54,41,36,30,5
Donnie,326,228,155,130,89,73,66,59,49,44,9
Agustin,78,85,98,138,144,168,155,112,105,117,25
Dayton,18,25,34,72,149,226,253,194,132,97,20
Remy,7,12,17,28,42,48,76,144,335,432,78
Kory,147,161,255,246,155,92,63,39,33,25,4
Arjun,3,8,16,35,56,92,151,260,289,244,62
Ryland,9,14,19,24,39,68,189,311,279,220,38
Rohan,5,10,24,46,95,205,250,217,175,149,31
Pierre,87,176,229,150,86,82,93,101,88,89,16
Kasey,88,123,178,205,144,99,149,74,47,71,18
Bradford,296,274,200,136,93,55,42,37,32,23,3
Jean,98,127,134,175,122,140,121,104,79,70,18
Landyn,0,1,1,5,9,52,276,381,282,164,19
Deangelo,48,79,171,185,165,104,134,123,96,66,10
Junior,46,57,65,84,107,147,187,142,137,175,34
Layne,26,25,28,45,111,133,178,210,177,205,41
Devonte,0,6,22,375,312,166,100,69,64,56,8
Benson,28,27,27,34,30,49,83,198,317,260,121
Jeff,352,216,163,115,74,82,70,46,31,22,4
Tevin,3,2,5,625,228,76,58,69,61,39,5
Ulises,17,22,47,92,148,189,224,171,120,120,21
Alessandro,15,18,31,44,64,113,180,187,204,253,61
Tracy,349,184,169,160,112,66,44,33,27,21,3
Elisha,40,53,46,71,121,161,185,167,148,141,32
Antwan,151,190,181,142,106,103,117,84,52,33,5
Kerry,269,216,225,164,88,69,46,31,27,22,6
Kolby,10,21,51,98,155,285,188,156,99,80,17
Hassan,59,62,69,95,114,114,136,134,158,174,45
Triston,6,18,29,27,292,251,256,172,72,31,6
Marcelo,34,36,43,55,79,94,124,138,202,272,80
Freddie,251,217,168,136,96,79,67,51,44,39,12
Zaiden,0,0,0,0,0,12,87,350,377,283,47
Samson,32,44,50,61,67,86,105,155,236,256,64
Deacon,7,5,4,4,10,66,168,244,307,285,53
Rick,229,221,205,162,95,71,63,45,34,23,4
Santos,88,99,87,102,114,123,138,116,108,141,34
Reynaldo,133,142,140,157,121,126,114,76,75,55,10
Hugh,126,107,101,84,95,93,96,112,136,164,36
Johnnie,249,207,164,137,100,75,70,58,47,36,6
Josh,219,166,115,93,90,130,136,84,58,47,10
Uriah,40,39,47,46,59,64,125,240,245,199,43
Coleman,28,53,74,120,185,186,164,123,110,89,15
Kasen,0,0,0,3,12,41,129,273,335,287,62
Alonso,26,34,50,82,106,144,179,173,159,157,32
Anton,109,126,111,125,127,130,129,102,98,69,13
Dana,333,254,211,140,73,44,33,19,16,12,3
Jairo,11,33,80,111,114,161,217,148,120,118,25
Dax,49,23,18,20,32,49,110,183,317,294,39
Nigel,66,82,114,190,189,144,141,91,70,38,7
Zechariah,17,35,52,102,110,144,175,180,163,124,29
Cason,6,9,15,15,36,82,177,305,286,169,29
Nick,205,141,131,107,92,103,114,82,74,67,12
Mack,85,68,63,55,47,51,76,113,207,296,67
Yusuf,25,22,23,30,44,76,124,191,245,277,70
Jarod,113,176,136,107,294,206,48,25,13,8,1
Kairo,0,0,0,0,5,7,14,25,224,690,158
Gerard,179,166,164,144,95,75,59,87,77,61,10
Cristopher,39,54,77,89,110,166,254,156,87,70,13
Callan,1,3,8,10,16,21,33,132,207,492,192
Otis,158,124,100,84,53,45,58,83,159,208,42
Jody,457,212,129,84,58,46,43,34,24,22,4
Garret,40,83,137,214,236,209,111,49,22,12,1
Jacoby,14,27,49,84,84,110,213,263,155,99,13
Vance,85,83,104,113,80,98,146,134,130,116,20
Royal,26,26,24,26,24,27,49,121,315,405,64
Jaron,45,61,154,194,154,189,135,91,44,33,6
Jaxton,0,0,0,0,2,15,61,244,423,316,41
Elvis,120,94,100,102,122,148,145,97,84,74,15
Chaim,44,48,59,68,83,97,129,152,169,207,41
Adolfo,66,77,89,128,147,208,183,81,62,46,8
Lester,223,205,152,126,82,71,66,56,49,51,10
Nikolai,13,12,18,32,42,57,106,205,301,259,47
Darrin,203,154,197,173,117,87,66,40,29,18,3
Houston,25,41,76,109,122,102,118,110,152,192,40
Brodie,18,23,30,42,59,122,287,207,138,135,21
Cannon,5,6,7,16,38,78,162,240,260,234,37
Kellan,0,15,25,23,24,45,105,409,263,145,22
Denzel,0,6,19,358,187,112,100,92,91,91,18
Samir,34,41,46,61,72,103,132,149,166,226,43
Alden,26,35,45,54,77,103,125,146,199,215,48
Kylan,4,8,13,24,58,94,142,184,225,270,51
Eden,7,10,12,18,25,49,96,167,296,335,55
Jimmie,249,199,162,137,93,70,55,47,32,24,3
Colter,8,24,34,49,48,47,65,73,79,406,235
Archie,97,79,59,46,32,29,35,44,103,427,113
Soren,11,11,12,17,35,68,139,183,246,273,67
Jaquan,4,12,43,168,264,240,150,83,49,40,6
Dewayne,237,187,147,112,87,79,77,61,42,27,6
Jadon,7,6,9,16,83,286,320,167,83,67,15
Jamel,122,140,167,160,113,99,99,71,50,33,5
Hamza,1,5,10,24,62,118,151,174,219,238,56
Denver,58,54,50,63,87,78,75,76,158,299,58
Marquise,20,38,84,198,269,146,114,78,58,44,6
Sammy,161,135,128,122,101,109,96,69,62,55,9
Korey,90,96,186,201,133,109,85,60,44,34,5
Boston,1,4,7,18,32,59,202,237,211,227,45
Addison,14,17,113,141,184,212,169,82,66,39,6
Jaylin,0,0,1,27,143,293,293,137,74,62,11
Deven,19,29,60,130,201,236,191,100,43,24,4
Leslie,288,222,165,120,76,55,42,25,23,17,3
Gene,248,203,159,125,80,57,43,32,38,41,6
Yosef,22,27,43,53,62,90,129,165,185,213,41
Lucian,16,17,14,17,21,43,145,214,211,268,67
Jackie,253,186,134,114,93,79,56,41,39,28,6
Ashley,259,321,201,85,47,38,27,16,15,15,3
Ronin,0,0,0,0,8,36,105,161,307,352,60
Benny,157,130,104,97,86,89,86,72,68,107,29
Dominik,5,7,13,37,78,148,210,233,159,110,23
Jaylon,2,4,5,38,183,303,234,107,76,59,9
Misael,15,18,34,72,104,134,174,142,129,161,36
Princeton,3,11,24,25,12,17,41,162,384,296,42
Layton,10,14,18,34,52,84,148,189,214,216,38
Darien,25,29,41,175,184,161,128,108,84,68,13
Greg,390,227,133,84,53,39,35,20,15,12,2
Sincere,1,0,0,2,17,115,175,191,223,242,45
Memphis,0,0,0,0,1,56,140,179,267,323,44
Bruno,26,34,37,49,58,99,128,160,186,196,35
Floyd,238,196,153,110,69,59,52,43,49,33,6
Arnold,143,132,126,155,114,102,68,47,53,52,12
Valentino,21,27,30,37,40,50,103,147,197,280,71
Irvin,50,48,92,157,142,148,163,95,57,41,8
Kyson,0,0,3,5,8,25,80,165,312,335,65
Dario,37,62,61,82,78,101,117,109,120,192,34
Jovan,78,106,110,127,119,123,115,87,65,55,9
Bronson,39,51,80,90,83,81,100,157,172,119,21
Zain,2,4,12,24,52,88,125,165,210,256,52
Chaz,20,97,174,204,132,111,105,67,49,28,2
Rigoberto,78,105,113,138,131,138,124,70,48,37,7
Guadalupe,154,140,125,139,123,113,92,51,29,18,2
Case,6,10,18,18,35,57,101,236,256,208,36
Oakley,3,5,3,10,17,25,43,126,292,389,69
Tristin,0,9,21,15,244,218,228,143,71,27,4
Fletcher,27,27,44,40,49,75,95,138,208,219,55
Davin,67,66,60,70,85,155,205,148,79,36,5
Kole,2,11,17,49,99,153,191,172,150,115,16
Colson,0,0,3,7,16,38,57,77,175,489,110
London,8,12,28,52,57,94,203,230,162,107,14
Jabari,45,43,46,89,86,134,167,104,118,115,17
Jasiah,0,0,0,1,9,45,120,181,240,303,61
Leandro,20,19,25,29,33,61,115,137,178,259,79
Dan,190,156,125,106,80,74,70,52,49,43,8
Valentin,36,48,47,66,76,81,150,116,127,163,42
Vaughn,68,69,76,94,76,95,137,116,111,88,18
Cortez,48,64,117,156,111,98,106,103,83,53,10
Leonidas,7,7,7,8,6,9,64,157,291,333,59
Octavio,61,68,73,103,112,150,137,89,72,67,15
Loren,179,197,167,125,77,59,43,36,33,28,4
Zaire,6,2,2,16,57,90,122,111,176,302,60
Myron,168,146,127,107,85,72,67,60,56,47,10
Elmer,90,78,78,105,105,117,110,85,79,79,17
Nathanial,69,94,104,133,167,156,126,56,22,14,3
Callen,1,2,9,10,15,17,35,220,257,318,58
Cairo,1,1,1,4,6,11,23,57,241,500,97
Herman,210,169,144,114,82,60,50,38,37,26,6
Korbin,1,1,6,23,48,104,152,239,212,131,18
Ira,148,126,84,65,54,54,53,71,110,138,30
Jamir,1,4,7,20,43,82,137,144,188,255,50
Briggs,1,2,2,5,10,19,43,104,210,441,92
Makai,0,0,1,1,14,52,129,173,219,279,63
Dangelo,16,25,54,57,178,137,111,101,117,115,18
